context,pun_word,alter_word,pun_word_sense,alter_word_sense,new_pun,user_pun
"building,jump off,allegedly,threatened,man",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The threatened man fell off the building this weakened
"building,jump off,allegedly,threatened,man",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The threatened man fell off the building  and cried a tier on the way down
"building,jump off,allegedly,threatened,man",broken,broken,stop operating or functioning,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",yes,
"calendar,twelve months,thief,stole",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The thief who stole the slander was aloud to make a phone call from jail
"calendar,twelve months,thief,stole",change,change,a relational difference between states; especially between states before and after some event,coins of small denomination regarded collectively,yes,The thief hopes his ex change officer gives him the money
"calendar,twelve months,thief,stole",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The thief had a tier in his eye while he stole the calendar
carnival,resort,resort,an expedient adopted only in desperation,a hotel located in a resort area,yes,The carnival will resort to sending us all on vacation
carnival,squares,squares,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon,someone who doesn't understand what is going on,yes,The carnival staff preferred circular shapes. They were not squares
carnival,raisin,raise,dried grape,increase,yes,The carnival staff got very good raisins for their hard work
"carnival,county",baroque,broken,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",physically and forcibly separated into pieces or cracked or split,yes,The county carnival vault was baroque into by thieves
"carnival,county",sail,sale,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel,a particular instance of selling,yes,I saw a huge boat for sail at the county festival!
"carnival,county",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,I plan on going to the county carnival this weakened
"case,judge",repress,repress,suppress in order to conceal or hide,put out of one's consciousness,no,
"case,judge",notably,note,especially; in particular,a notation representing the pitch and duration of a musical sound,yes,The judge was note in the courtroom today for the case
"case,judge",see,see,perceive by sight or have the power to perceive by sight,remain with until completion,no,"The judge spoke spanish and said ""see por favor"""
cashiers,alledgedly,ledge,according to what has been alleged,a projecting ridge on a mountain or submerged under water,no,
cashiers,vault,fault,a strongroom or compartment (often made of steel) for safekeeping of valuables,the quality of being inadequate or falling short of perfection,yes,The cashiers knew it was not their vault that the store got robbed
cashiers,allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,no,Cashiers are not aloud to take money home from the register
"cheese,breath,waited,cat ate,mouse",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,Are we aloud to give cheese to the cat and the mouse?
"cheese,breath,waited,cat ate,mouse",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,no,
"cheese,breath,waited,cat ate,mouse",hamstring,ham,one of the tendons at the back of the knee,meat cut from the thigh of a hog (usually smoked),yes,The cat pulled his ham chasing after the mouse
"chinese cooks,die",seasonings,season,something added to food primarily for the savor it imparts,a recurrent time marked by major holidays,yes,The chinese cooks do not need a season to open a new restaurant
"chinese cooks,die",raisin,raise,dried grape,increase,no,
"chinese cooks,die",boils,boils,be the essential element,"immerse or be immersed in a boiling liquid, often for cooking purposes",yes,The chinese cooks think it all boils down to hot temperatures and time
"chronically absent,career,employee,just  off",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The chronically absent employee was no longer aloud on the premises
"chronically absent,career,employee,just  off",broken,broken,stop operating or functioning,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",no,
"chronically absent,career,employee,just  off",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The chronically absent employee left the office for the weakened again
"coins,to be",change,change,a relational difference between states; especially between states before and after some event,coins of small denomination regarded collectively,no,
"coins,to be",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,"The coins were top tear, they brought in a  lot of money"
"coins,to be",fare,fair,the sum charged for riding in a public conveyance,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,no,I try to be fare with everyone as I take their coins at the entrance
"commute,bunnies",delete,delight,cut or eliminate,a feeling of extreme pleasure or satisfaction,yes,Bunnies commute often so they are deleted when they can stay home
"commute,bunnies",lamb,lam,young sheep,a rapid escape (as by criminals),yes,Bunnies commute with sheep and lam on the same bus
"commute,bunnies",peasant,pleasant,one of a (chiefly European) class of agricultural laborers,affording pleasure; being in harmony with your taste or likings,yes,The bunnies who commute are quite peasant to be around
"company football team,meeting,get together",launch,lunch,the act of propelling with force,a midday meal,yes,I want to invite the company football team out to launch
"company football team,meeting,get together",moved,moved,being excited or provoked to the expression of an emotion,"change residence, affiliation, or place of employment",yes,"The company football team never cries, though they are often moved from city to city"
"company football team,meeting,get together",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The company football team was not aloud to board the bus
"condition,mouthwash bottles",ordure,order,solid excretory product evacuated from the bowels,logical or comprehensible arrangement of separate elements,yes,Will you please ordure a new mouthwash bottle for us?
"condition,mouthwash bottles",clean,clean,free from dirt or impurities; or having clean habits,free of drugs,no,
"condition,mouthwash bottles",knead,need,make uniform,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,yes,I knead to buy a new mouthwash bottle as soon as possible
"cross - eyed teacher,teacher",missing,missing,fail to perceive or to catch with the senses or the mind,fail to reach,no,
"cross - eyed teacher,teacher",kidding,kidding,tell false information to for fun,young goat,no,
"cross - eyed teacher,teacher",expressions,expressions,the communication (in speech or writing) of your beliefs or opinions,a group of symbols that make a mathematical statement,no,
"dentists,hard day",broken,broken,stop operating or functioning,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",no,
"dentists,hard day",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The dentist had a hard day due to his weekend immune system
"dentists,hard day",bypass,bypass,a surgically created shunt (usually around a damaged part),avoid something unpleasant or laborious,no,
"disputes,church",baroque,broken,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",physically and forcibly separated into pieces or cracked or split,yes,I was having a big dispute at church but my microphone baroque
"disputes,church",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The people in the church were having a dispute allowed
"disputes,church",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,There were too many disputes at the church this past weakened
"einstein,parents",sirius,serious,the brightest star in the sky; in Canis Major,concerned with work or important matters rather than play or trivialities,yes,Einstein's parents thought their son was way too sirius
"einstein,parents",raisin,raise,dried grape,increase,yes,Einstein's parents demanded a raisin from their employers
"einstein,parents",notably,note,especially; in particular,a notation representing the pitch and duration of a musical sound,yes,Einstein's parents surrounded their home with a note of water to keep out intruders
"farmer,bull",deer,dear,distinguished from Bovidae by the male's having solid deciduous antlers,a beloved person; used as terms of endearment,yes,The farmer truly loved his deer bull!
"farmer,bull",tack,tack,gear for a horse,the heading or position of a vessel relative to the trim of its sails,yes,The farmer almost died due to a heart a tack!
"farmer,bull",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,yes,
"finished,wall sculptors,it be a",cement,cement,concrete pavement is sometimes referred to as cement,make fast as if with cement,yes,I finished the last cement of the race with the wall sculptors
"finished,wall sculptors,it be a",perspective,perspective,a way of regarding situations or topics etc.,the appearance of things relative to one another as determined by their distance from the viewer,no,
"finished,wall sculptors,it be a",backed,backed,make a retreat from an earlier commitment or activity,the posterior part of a human (or animal) body from the neck to the end of the spine,yes,
"flock together,priest,robins",swarm,warm,a group of many things in the air or on the ground,psychologically warm; friendly and responsive,yes,I had a very swarm feeling from meeting the priests all together
"flock together,priest,robins",ordure,order,solid excretory product evacuated from the bowels,logical or comprehensible arrangement of separate elements,yes,The priests all put in a big ordure for robins and potatoes
"flock together,priest,robins",bloomers,bloomers,a flower that blooms in a particular way,(used in the plural) underpants worn by women,yes,"Priests like looking at bloomers in the spring, though it makes women nervous"
"flock,doves,stage a",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The doves flock together to fly on the weakened
"flock,doves,stage a",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,"The doves always make me tier up, they are so pretty"
"flock,doves,stage a",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,yes,
"flowers,fig leaf,eve",raisin,raise,dried grape,increase,yes,The fig leaf farmers demanded big raisins since cost of living was high
"flowers,fig leaf,eve",chimed,chimed,break into a conversation,emit a sound,no,
"flowers,fig leaf,eve",notably,note,especially; in particular,a notation representing the pitch and duration of a musical sound,yes,The castle featured flowers and a very large note to protect itself from invaders
"friends,out,ropes",backed,backed,make a retreat from an earlier commitment or activity,the posterior part of a human (or animal) body from the neck to the end of the spine,no,
"friends,out,ropes",pull,pull,assemble or get together,apply force so as to cause motion towards the source of the motion,yes,I was very pull after eating so much with my friends while sitting on the ropes
"friends,out,ropes",knead,need,make uniform,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,no,"I knead new friends, my old ones are out on the topes"
"fruit vender,daughter",notably,note,especially; in particular,a notation representing the pitch and duration of a musical sound,yes,The fruit vender and his daughter did not want to rock the note too much
"fruit vender,daughter",father,feather,`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military,the light horny waterproof structure forming the external covering of birds,yes,The fruit vender and his daughter pulled a father from the dead bird
"fruit vender,daughter",pears,peer,sweet juicy gritty-textured fruit available in many varieties,a person who is of equal standing with another in a group,yes,The fruit vender and his daughter were very good to their pears at the market
"garden,grow food",deer,dear,distinguished from Bovidae by the male's having solid deciduous antlers,a beloved person; used as terms of endearment,yes,I grow my own food in my garden so I can feed the dear in my back yard
"garden,grow food",launch,lunch,the act of propelling with force,a midday meal,yes,I grow my own food in my garden so I can make my own launch
"garden,grow food",wok,walk,pan with a convex bottom; used for frying in Chinese cooking,use one's feet to advance; advance by steps,yes,"I would grow my own food, but that sounds like too much walk"
gardener,lichen,liken,any thallophytic plant of the division Lichenes; occur as crusty patches or bushy growths on tree trunks or rocks or bare ground etc.,"consider or describe as similar, equal, or analogous",yes,The gardener planted a new liken plant
gardener,planted,planted,"put or set (seeds, seedlings, or plants) into the ground",place something or someone in a certain position in order to secretly observe or deceive,yes,The gardener  planted an idea in the mind of his family
gardener,seasonings,season,something added to food primarily for the savor it imparts,a recurrent time marked by major holidays,yes,The gardener had no season for planting the tree the way he did
"get  over,old cricketers",stuck,stuck,caught or fixed,pierce or penetrate or puncture with something pointed,yes,Old cricketers often got stuck in the head with a ball while playing
"get  over,old cricketers",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,no,
"get  over,old cricketers",pinch,pinch,a painful or straitened circumstance,an injury resulting from getting some body part squeezed,yes,"Old cricketers were pressed for time, they were in a pinch"
guitarists,broken,broken,stop operating or functioning,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",no,
guitarists,rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,no,
guitarists,descent,decent,the descendants of one individual,meeting requirements,no,The guitarist was a descent man to the people
"hail storm,knock out,hit",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The hail storm was so scary it put a tier in my eye
"hail storm,knock out,hit",falling,falling,a personal or social separation (as between opposing factions),descend in free fall under the influence of gravity,yes,"The hail storm was falling to scare me, I am very brave"
"hail storm,knock out,hit",blowout,blowout,a gay festivity,a sudden malfunction of a part or apparatus,yes,
"hospital,boy swallowed a pillow,condition as",lymph,limp,a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels,walk impeded by some physical limitation or injury,yes,The boy swallowed a pillow and hurt his limp nodes
"hospital,boy swallowed a pillow,condition as",congealed,concealed,congealed into jelly; solidified by cooling,hidden on any grounds for any motive,yes,The boy swallowed a pillow congealed it from his mom until she found out
"hospital,boy swallowed a pillow,condition as",kidding,kidding,tell false information to for fun,young goat,yes,
"houses,truckers",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The truckers are never aloud to leave their houses
"houses,truckers",sail,sale,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel,a particular instance of selling,yes,The truckers are buying new houses when they are for sail
"houses,truckers",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The truckers are never at their houses on the weakened
"human cannonball,late for work",hit,hit,the act of contacting one thing with another,a conspicuous success,yes,The human cannonball hurt his left hit when he landed
"human cannonball,late for work",baroque,broken,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",physically and forcibly separated into pieces or cracked or split,yes,The human cannonball baroque his cannon before the show
"human cannonball,late for work",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The human cannonball was aloud to perform twice a day
"humor,desert,people",wok,walk,pan with a convex bottom; used for frying in Chinese cooking,use one's feet to advance; advance by steps,yes,People tend to stay away from humor when they take a wok
"humor,desert,people",descent,decent,the descendants of one individual,meeting requirements,yes,The dreary people are actually descent people!
"humor,desert,people",caustically,caustic,in a caustic vitriolic manner,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action",yes,
hunts deer,quivering,quivering,"shake with fast, tremulous movements",case for holding arrows,no,
hunts deer,deer,dear,distinguished from Bovidae by the male's having solid deciduous antlers,a beloved person; used as terms of endearment,yes,The hunter hunts dear year round
hunts deer,weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,no,He hunts deer on the weakened
"i' ll take that,said",wrapped,wrapped,arrange or fold as a cover or protection,deeply devoted to,yes,"She wrapped her lyrics with passion to the crowd, when offered a million dollars, she said I'll take that"
"i' ll take that,said",moved,moved,being excited or provoked to the expression of an emotion,"change residence, affiliation, or place of employment",no,
"i' ll take that,said",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,"When the boss told her to stop talking because she was not aloud, she said I'll take that"
"insomnia,awake",broken,broken,stop operating or functioning,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",no,
"insomnia,awake",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,no,
"insomnia,awake",lymph,limp,a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels,walk impeded by some physical limitation or injury,no,I felt pain in my lip node while I was awake
"interest,lends,poor",core,core,the choicest or most essential or most vital part of some idea or experience,the center of an object,yes,The poor bank has a core to settle with the interest lender
"interest,lends,poor",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The poor are not aloud to take low interest loans
"interest,lends,poor",average,average,a statistic describing the location of a distribution,"amount to or come to an average, without loss or gain",yes,
"job,pens",dolefully,dole,with sadness; in a sorrowful manner,money received from the state,yes,The pens had the dole purpose of helping me at my job
"job,pens",stuck,stuck,caught or fixed,pierce or penetrate or puncture with something pointed,yes,I got stuck by a box of pens at my job
"job,pens",pinch,pinch,a painful or straitened circumstance,an injury resulting from getting some body part squeezed,yes,
"judges,die",evenly,eve,in a level and regular way,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,yes,The judges do not die this eve
"judges,die",scale,scale,relative magnitude,a flattened rigid plate forming part of the body covering of many animals,yes,The judges told us the case files are not for scale no matter the amount
"judges,die",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,Judges are not aloud to die without a replacement being found
"judges,die,slur their",roll,role,an actor's portrayal of someone in a play,small rounded bread either plain or sweet,yes,The judges slur their speech when they play a roll in the movie
"judges,die,slur their",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The judges are never aloud to slur their words in court
"judges,die,slur their",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The judges in the court spend time relaxing on the weakened
"knocker,said,try,not answering",cells,cells,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,a room where a prisoner is kept,yes,The knocker said he tried to make two cells before he went to the door
"knocker,said,try,not answering",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The knocker was not aloud to enter through the door
"knocker,said,try,not answering",dolefully,dole,with sadness; in a sorrowful manner,money received from the state,yes,The knocker's dole purpose in life was to sale things door to door
"lousy dates,and dining",lathering,laugh,form a lather,produce laughter,no,
"lousy dates,and dining",rolling,rolling,start to be active,cause to move by turning over or in a circular manner of as if on an axis,yes,"Lousy dates often keep the tab rolling, as the night goes downhill"
"lousy dates,and dining",waist,waste,the narrowing of the body between the ribs and hips,use inefficiently or inappropriately,no,Sometimes lousy dates can be such a waist
"magician,into a drugstore",brine,brain,a strong solution of salt and water used for pickling,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,yes,The magician went into the drugstore to buy Tylenol for his brine pain
"magician,into a drugstore",baroque,broken,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",physically and forcibly separated into pieces or cracked or split,yes,The magician went into the drugstore to buy a new phone stand since he baroque his last one
"magician,into a drugstore",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The magician was not aloud into the drugstore anymore
"married,jokes",pinch,pinch,a painful or straitened circumstance,an injury resulting from getting some body part squeezed,no,
"married,jokes",boos,booze,a cry or noise made to express displeasure or contempt,an alcoholic beverage that is distilled rather than fermented,yes,Married jokes are funnier when you drink more boos
"married,jokes",kidding,kidding,tell false information to for fun,young goat,no,Married jokes are best told around a kidding
martini,boos,booze,a cry or noise made to express displeasure or contempt,an alcoholic beverage that is distilled rather than fermented,yes,I need some boos so I will order a Martini
martini,caustically,caustic,in a caustic vitriolic manner,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action",no,
martini,ordure,order,solid excretory product evacuated from the bowels,logical or comprehensible arrangement of separate elements,yes,I will ordure a large martini for myself
masochist,cells,cells,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,a room where a prisoner is kept,yes,The masochist made two phone cells out of jail today
masochist,dirty,dirty,soiled or likely to soil with dirt or grime,unethical or dishonest,no,
masochist,dolefully,dole,with sadness; in a sorrowful manner,money received from the state,yes,The masochist had a dole on his face
"merry-go-round,politicians",alledgedly,ledge,according to what has been alleged,a projecting ridge on a mountain or submerged under water,yes,politicians always try their best to ledge against any economic downturn
"merry-go-round,politicians",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The local politicians do not like to speak allowed when in private
"merry-go-round,politicians",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The local politicians were campaigning in town this past weakened
"meteorologists,under the",swarm,warm,a group of many things in the air or on the ground,psychologically warm; friendly and responsive,yes,I was attacked by a warm of crazy meteorologists
"meteorologists,under the",sirius,serious,the brightest star in the sky; in Canis Major,concerned with work or important matters rather than play or trivialities,yes,The meteorologists were very sirius about the weather
"meteorologists,under the",notably,note,especially; in particular,a notation representing the pitch and duration of a musical sound,yes,The meteorologists were carrying their notebooks in a note bag
"miss,ex - lumberjack",single,single,being or characteristic of a single thing or person,not married or related to the unmarried state,yes,The ex-lumberjack was divorced and ready to single
"miss,ex - lumberjack",deer,dear,distinguished from Bovidae by the male's having solid deciduous antlers,a beloved person; used as terms of endearment,yes,The ex-lumberjack killed a dear while driving on the mountain road
"miss,ex - lumberjack",hit,hit,the act of contacting one thing with another,a conspicuous success,yes,The ex-lumberjack hurt his right hit while cutting wood
moby dick,succor,sucker,assistance in time of difficulty,a person who is gullible and easy to take advantage of,yes,Moby Dick was a succor for sad movies
moby dick,hit,hit,the act of contacting one thing with another,a conspicuous success,yes,Moby Dick fell off the boat and hurt his left hit
moby dick,dirty,dirty,soiled or likely to soil with dirt or grime,unethical or dishonest,yes,Moby Dick turned dirty years old today
"mother,little boy,grim does not pay",dolefully,dole,with sadness; in a sorrowful manner,money received from the state,yes,The mother told her little boy that the dole purpose of life was being happy
"mother,little boy,grim does not pay",fare,fair,the sum charged for riding in a public conveyance,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,yes,The little boy told his mother life was not fare
"mother,little boy,grim does not pay",pinch,pinch,a painful or straitened circumstance,an injury resulting from getting some body part squeezed,yes,The little boy told his mom his favorite bird was a pinch
"movie,beaver",roll,role,an actor's portrayal of someone in a play,small rounded bread either plain or sweet,yes,The beaver did not like the movie roll he was given
"movie,beaver",quivering,quivering,"shake with fast, tremulous movements",case for holding arrows,yes,The beaver was quivering due to how cold he was while at the bow range
"movie,beaver",deer,dear,distinguished from Bovidae by the male's having solid deciduous antlers,a beloved person; used as terms of endearment,yes,The beaver ran away with the dear into the woods
"movie,popular",serial,cereal,of or relating to the sequential performance of multiple operations,made of grain or relating to grain or the plants that produce it,yes,The movie was about a serial killer
"movie,popular",kidding,kidding,tell false information to for fun,young goat,no,
"movie,popular",roomers,rumor,a tenant in someone's house,gossip (usually a mixture of truth and untruth) passed around by word of mouth,yes,I heard some roomers that this movie is not very popular with girls
"never die,tailors",rugged,rug,very difficult; severely testing stamina or resolution,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile),yes,"The tailors never die, they did not rug their hands on the poison"
"never die,tailors",wrapped,wrapped,arrange or fold as a cover or protection,deeply devoted to,yes,The tailors never die because they wrapped their lyrics passionately
"never die,tailors",allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,The tailors never die since they are not aloud to go into the danger zone
"off,interpreters,die",weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The interpreters might die of fatigue this long weakened
"off,interpreters,die",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The interpreters often cry salty tiers when their clients pass away
"off,interpreters,die",sail,sale,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel,a particular instance of selling,yes,The interpreters sail their businesses when clients die off
"opera,orchestra conductors",intoned,tone,utter monotonously and repetitively and rhythmically,a musical interval of two semitones,no,
"opera,orchestra conductors",composed,composed,serenely self-possessed and free from agitation especially in times of stress,write music,yes,The orchestra conductors care about the environment a lot so they composed their wasted food
"opera,orchestra conductors",miners,minor,laborer who works in a mine,a young person of either sex,no,The orchestra conductors do not allow miners into the opera
"out,husbands,fires",wok,walk,pan with a convex bottom; used for frying in Chinese cooking,use one's feet to advance; advance by steps,yes,The two husbands were out and about for a wok
"out,husbands,fires",blowout,blowout,a gay festivity,a sudden malfunction of a part or apparatus,no,
"out,husbands,fires",backed,backed,make a retreat from an earlier commitment or activity,the posterior part of a human (or animal) body from the neck to the end of the spine,yes,
peasant,charmingly,ming,in a charming manner,the imperial dynasty of China from 1368 to 1644,no,
peasant,tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The peasant cried a lot of tiers
peasant,wok,walk,pan with a convex bottom; used for frying in Chinese cooking,use one's feet to advance; advance by steps,no,The peasant took a very long wok home
"pepper,salt",lamas,llama,a Tibetan or Mongolian priest of Lamaism,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump,yes,"I went to dinner with a llama from Tibet last night, he used a lot of salt and pepper"
"pepper,salt",raisin,raise,dried grape,increase,yes,My boss gave e a huge raisin for suggesting we add more salt and pepper to the recipe
"pepper,salt",boils,boils,be the essential element,"immerse or be immersed in a boiling liquid, often for cooking purposes",yes,
"photographers,people",point,point,a brief version of the essential meaning of something,sharp end,yes,Photographers prefer working together on point projects
"photographers,people",Digital,Digital,of a circuit or device that represents magnitudes in digits,relating to or performed with the fingers,yes,Photographers always have their finger on the latest digital trends
"photographers,people",negatively,negative,in a negative way,a piece of photographic film showing an image with light and shade or colors reversed,yes,Photographers revealed the negatives of their work
politics,weakened,weekend,lessen the strength of,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,yes,The politics show did not play on the weakened
politics,change,change,a relational difference between states; especially between states before and after some event,coins of small denomination regarded collectively,yes,"There is a lot of politics in Marvel movies, especially those shown by Doctor Change."
politics,perspective,perspective,a way of regarding situations or topics etc.,the appearance of things relative to one another as determined by their distance from the viewer,yes,The perspective student toured the politics department
"pop singer,bought,house",stiltedly,stilt,in a stilted manner,one of two stout poles with foot rests in the middle; used for walking high above the ground,no,
"pop singer,bought,house",roomers,rumor,a tenant in someone's house,gossip (usually a mixture of truth and untruth) passed around by word of mouth,yes,There were roomers that the pop singer bought a new house
"pop singer,bought,house",gift,gift,something acquired without compensation,natural abilities or qualities,no,
"prodigal son,bad  day",kidding,kidding,tell false information to for fun,young goat,no,
"prodigal son,bad  day",backed,backed,make a retreat from an earlier commitment or activity,the posterior part of a human (or animal) body from the neck to the end of the spine,no,
"prodigal son,bad  day",Psalms,palm,one of the 150 lyrical poems and prayers that comprise the Book of Psalms in the Old Testament; said to have been written by David,the inner surface of the hand from the wrist to the base of the fingers,no,The prodigal son was nervous and his psalms were sweaty
"psychotic,florist",incremental,mental,increasing gradually by regular degrees or additions,affected by a disorder of the mind,yes,"The psychotic florist made small, mental changes to her routine to get better"
"psychotic,florist",organically,organ,in an organic manner,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,yes,The psychotic florist wanted to play the piano but her organs could not handle it
"psychotic,florist",alledgedly,ledge,according to what has been alleged,a projecting ridge on a mountain or submerged under water,yes,
push the envelope,allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,I was not aloud to push the envelope at my job
push the envelope,moved,moved,being excited or provoked to the expression of an emotion,"change residence, affiliation, or place of employment",no,
push the envelope,change,change,a relational difference between states; especially between states before and after some event,coins of small denomination regarded collectively,yes,
refereed,meddle,medal,intrude in other people's affairs or business; interfere unwantedly,an award for winning a championship or commemorating some other event,yes,I refereed a game and received a meddle for it
refereed,charmingly,ming,in a charming manner,the imperial dynasty of China from 1368 to 1644,no,
refereed,allowed,aloud,allow or plan for a certain possibility; concede the truth or validity of something,using the voice; not silently,yes,"Since I refereed the game, I was aloud to stay for the trophy presentation"
"rough,gardener",tier,tear,one of two or more layers one atop another,a drop of the clear salty saline solution secreted by the lacrimal glands,yes,The rough gardener cried many a tier of joy
"rough,gardener",cement,cement,concrete pavement is sometimes referred to as cement,make fast as if with cement,yes,The rough gardener cut out a cement of the rose bush for his wife
"rough,gardener",descent,decent,the descendants of one individual,meeting requirements,yes,The rough gardener is a descent man after all
"scientist,liquid chemicals,problem",pinch,pinch,a painful or straitened circumstance,an injury resulting from getting some body part squeezed,no,
"scientist,liquid chemicals,problem",boils,boils,be the essential element,"immerse or be immersed in a boiling liquid, often for cooking purposes",yes,The chemicals heating up boils down to the scientist turning on the furnace
"scientist,liquid chemicals,problem",worked,worked,find the solution to (a problem or question) or understand the meaning of,do physical exercise,no,"The scientist's answer was twisted, it was worked."
"she be in,governor' s daughter,daughter",missing,missing,fail to perceive or to catch with the senses or the mind,fail to reach,yes,"The cat hated the governor's daughter, it was always missing at her."
